year;jounral;title;url
2017;Journal of Physics B: Atomic_ Molecular and Optical Physics 50 (22)_ 224004;Spin–spin correlations and entanglement in elastic electron scattering from hydrogen atoms;https://iopscience.iop.org/article/10.1088/1361-6455/aa8c8b/ampdf
2017;Journal of Physics B: Atomic_ Molecular and Optical Physics 50 (21)_ 214002;A few selected contributions to electron and photon collisions with H2 and;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7724999/
2017;Astronomy & Astrophysics 606_ A11;Inelastic e+ Mg collision data and its impact on modelling stellar and supernova spectra;https://www.aanda.org/articles/aa/pdf/2017/10/aa30864-17.pdf
2017;Physical Review A 96 (2)_ 022702;Wave-packet continuum-discretization approach to single ionization of helium by antiprotons and energetic protons;https://link.aps.org/accepted/10.1103/PhysRevA.96.022702
2017;Journal of Physics: Conference Series 875 (6)_ 052003;Benchmark calculations for electron-impact excitation of Mg4+;https://iopscience.iop.org/article/10.1088/1742-6596/875/6/052003/pdf
2017;Journal of Physics: Conference Series 875 (3)_ 022029;Circular Dichroism in the Multi-Photon Ionization of Oriented Helium Ions;https://iopscience.iop.org/article/10.1088/1742-6596/875/3/022029/pdf
2017;Journal of Physics: Conference Series 875 (6)_ 052013;Spin entanglement in elastic electron scattering from quasi-one electron atoms;https://iopscience.iop.org/article/10.1088/1742-6596/875/6/052013/pdf
2017;Journal of Physics: Conference Series 875 (3)_ 022036;Coherent control of the photoelectron angular distribution in photoionization of neon;https://iopscience.iop.org/article/10.1088/1742-6596/875/3/022036/pdf
2017;Journal of Physics: Conference Series 875 (3)_ 022039;Attoclock using Atomic Hydrogen;https://iopscience.iop.org/article/10.1088/1742-6596/875/3/022039/pdf
2017;Journal of Physics: Conference Series 875 (3)_ 022002;Photoionization of neutral iron from ground and metastable states;https://iopscience.iop.org/article/10.1088/1742-6596/875/3/022002/pdf
2017;Journal of Physics: Conference Series 875 (3)_ 022003;Low-energy outer-shell photodetachment of the negative ion of aluminum;https://iopscience.iop.org/article/10.1088/1742-6596/875/3/022003/pdf
2017;Journal of Physics: Conference Series 875 (3)_ 022030;Few-cycle strong-field ionization of atomic hydrogen with elliptically polarized infrared light;https://iopscience.iop.org/article/10.1088/1742-6596/875/3/022030/pdf
2017;Journal of Physics: Conference Series 875 (6)_ 052004;B-spline R-matrix with pseudo-states calculations for electron-impact excitation and ionization of magnesium;https://iopscience.iop.org/article/10.1088/1742-6596/875/6/052004/pdf
2017;VizieR Online Data Catalog_ J/A+ A/606/A11;VizieR Online Data Catalog: Inelastic e+ Mg collision data (Barklem+_ 2017);
2017;The European Physical Journal D 71_ 1-9;Photoelectron angular distribution in two-pathway ionization of neon with femtosecond XUV pulses;https://link.springer.com/content/pdf/10.1140/epjd/e2017-70695-7.pdf
2017;Physical Review A 95 (4)_ 042709;Calculations for electron-impact excitation of;https://link.aps.org/accepted/10.1103/PhysRevA.95.042709
;;;
;;;https://link.aps.org/accepted/10.1103/PhysRevA.95.042707
