year;jounral;title;url
2014;High Energy/Average Power Lasers and Intense Beam Applications VII 8962, 51-59;Mechanisms for plasma formation during high power pumping of XPAL;https://www.researchgate.net/profile/Oleg-Zatsarinny/publication/263005602_Mechanisms_for_Plasma_Formation_During_High_Power_Pumping_of_XPAL/links/54f24b4c0cf2b36214b0dd98/Mechanisms-for-Plasma-Formation-During-High-Power-Pumping-of-XPAL.pdf
2014;Physical Review A 89 (2), 022706;Electron-impact excitation of argon at intermediate energies;https://www.academia.edu/download/44886124/Large-scale_B-spline_R-matrix_with_pseud20160419-7077-fp7v5q.pdf
2014;;Excitation dynamics of autoionizing states in rubidium atom and molecule Rb2 in electron-atom collisions;
2013;Iop Publıshıng Ltd;A comprehensıve x-ray absorptıon model for atomıc oxygen;
2013;;A Comprehensive X-Ray Absorption Model for Atomic Oxygen;
2013;Journal of Physics B: Atomic, Molecular and Optical Physics 46 (24), 245203;Differential cross sections for low-energy elastic electron scattering from the CF3 radical;https://www.researchgate.net/profile/Oleg-Zatsarinny/publication/260939889_Differential_cross_sections_for_low-energy_elastic_electron_scattering_from_the_CF3_radical/links/56ea23bc08ae25ede8310231/Differential-cross-sections-for-low-energy-elastic-electron-scattering-from-the-CF3-radical.pdf
2013;The Astrophysical Journal 779 (1), 78;A comprehensive X-ray absorption model for atomic oxygen;https://iopscience.iop.org/article/10.1088/0004-637X/779/1/78/pdf
2013;Energy [eV] 3, 3p;Impact of new atomic data for the formation of the Mg I 4571 Å line in benchmark stars;https://www.researchgate.net/profile/T-Merle/publication/260940271_Impact_of_new_atomic_data_for_the_formation_of_the_Mg_I_4571_A_line_in_benchmark_stars/links/0a85e5331dd6ed3b2f000000/Impact-of-new-atomic-data-for-the-formation-of-the-Mg-I-4571-A-line-in-benchmark-stars.pdf
2013;Journal of Physics B: Atomic, Molecular and Optical Physics 46 (21), 215201;Excitation-autoionization cross section of alkali atoms by electron impact;https://iopscience.iop.org/article/10.1088/1742-6596/488/4/042003/pdf
2013;APS Annual Gaseous Electronics Meeting Abstracts, HW1. 006;Evaluation of theoretical cross sections for electron scattering from noble gases for plasma modeling;
2013;APS Annual Gaseous Electronics Meeting Abstracts, PR5. 001;Large-scale B-spline R-matrix calculations of electron impact excitation and ionization processes in complex atoms;
2013;APS Annual Gaseous Electronics Meeting Abstracts, HW1. 022;Electron Collisions with Argon at Low and Intermediate Energies;
2013;Journal of Physics D: Applied Physics 46 (33), 334001;Comparisons of sets of electron–neutral scattering cross sections and swarm parameters in noble gases: I. Argon;https://www.researchgate.net/profile/Oleg-Zatsarinny/publication/256848700_Comparisons_of_sets_of_electron-neutral_scattering_cross_sections_and_swarm_parameters_in_noble_gases_I_Argon/links/0c960528f10dfe4a76000000/Comparisons-of-sets-of-electron-neutral-scattering-cross-sections-and-swarm-parameters-in-noble-gases-I-Argon.pdf
